ACT_Code,n,Crop,Fodder,Fibre,Livestock,Wild food,Aquaculture,Water,Regulating,Recreation,title
A,0,,,,,,,,,,Agriculture
A01,1,x,,,,,,,,,Cultivation
A02,1,x,,,,,,,,,modification of cultivation practices
A02.01,1,x,,,,,,,,,agricultural intensification
A02.02,1,x,,,,,,,,,crop change
A02.03,1,x,,,,,,,,,grassland removal for arable land
A03,1,,x,,,,,,,,mowing / cutting of grassland
A03.01,1,,x,,,,,,,,intensive mowing or intensification
A03.02,1,,x,,,,,,,,non intensive mowing
A03.03,0,,,,,,,,,,abandonment / lack of mowing
A04,1,,,,x,,,,,,grazing
A04.01,1,,,,x,,,,,,intensive grazing
A04.01.01,1,,,,x,,,,,,intensive cattle grazing
A04.01.02,1,,,,x,,,,,,intensive sheep grazing
A04.01.03,1,,,,x,,,,,,intensive horse grazing
A04.01.04,1,,,,x,,,,,,intensive goat grazing
A04.01.05,1,,,,x,,,,,,intensive mixed animal grazing
A04.02,1,,,,x,,,,,,non intensive grazing
A04.02.01,1,,,,x,,,,,,non intensive cattle grazing
A04.02.02,1,,,,x,,,,,,non intensive sheep grazing
A04.02.03,1,,,,x,,,,,,non intensive horse grazing
A04.02.04,1,,,,x,,,,,,non intensive goat grazing
A04.02.05,1,,,,x,,,,,,non intensive mixed animal grazing
A04.03,0,,,,,,,,,,"abandonment of pastoral systems, lack of grazing"
A05,1,,,,x,,,,,,livestock farming and animal breeding (without grazing)
A05.01,1,,,,x,,,,,,"Animal breeding,"
A05.02,1,,,,x,,,,,,stock feeding
A05.03,0,,,,,,,,,,Lack of animal breeding
A06,1,x,,,,,,,,,annual and perennial non-timber crops
A06.01,1,x,,,,,,,,,annual crops for food production
A06.01.01,1,x,,,,,,,,,intensive annual crops for food production/ intensification
A06.01.02,1,x,,,,,,,,,non- intensive annual crops for food production
A06.02,1,x,,,,,,,,,perennial non-timber crops
A06.02.01,1,x,,,,,,,,,intensive perennial non-timber crops/intensification
A06.02.02,1,x,,,,,,,,,non-intensive perennial non-timber crops
A06.03,0,,,,,,,,,,biofuel-production
A06.04,0,,,,,,,,,,abandonment of crop production
A07,3,x,x,,x,,,,,,"use of biocides, hormones and chemicals"
A08,2,x,x,,,,,,,,Fertilisation
A09,1,x,,,,,,,,,Irrigation
A10,2,x,x,,,,,,,,Restructuring agricultural land holding
A10.01,2,x,x,,,,,,,,removal of hedges and copses or scrub
A10.02,2,x,x,,,,,,,,removal of stone walls and embankments
A11,3,x,x,,x,,,,,,Agriculture activities not referred to above
B,1,,,x,,,,,,,"Sylviculture, forestry"
B01,2,,,x,,,,,x,,forest planting on open ground
B01.01,2,,,x,,,,,x,,forest planting on open ground (native trees)
B01.02,2,,,x,,,,,x,,artificial planting on open ground (non-native trees)
B02,2,,,x,,,,,x,,Forest and Plantation management & use
B02.01,2,,,x,,,,,x,,forest replanting
B02.01.01,2,,,x,,,,,x,,forest replanting (native trees)
B02.01.02,2,,,x,,,,,x,,forest replanting (non native trees)
B02.02,1,,,x,,,,,,,forestry clearance
B02.03,1,,,x,,,,,,,removal of forest undergrowth
B02.04,1,,,x,,,,,,,removal of dead and dying trees
B02.05,2,,,x,,,,,x,,non- intensive timber production (leaving dead wood/ old trees untouched)
B02.06,1,,,x,,,,,,,thinning of tree layer
B03,1,,,x,,,,,,,forest exploitation without replanting or natural regrowth
B04,1,,,x,,,,,,,"use of biocides, hormones and chemicals (forestry)"
B05,1,,,x,,,,,,,use of fertilizers (forestry)
B06,1,,,,x,,,,,,grazing in forests/ woodland
B07,1,,,x,,,,,,,Forestry activities not referred to above
C,0,,,,,,,,,,"Mining, extraction of materials and energy production"
C01,0,,,,,,,,,,Mining and quarrying
C01.01,0,,,,,,,,,,Sand and gravel extraction
C01.01.01,0,,,,,,,,,,sand and gravel quarries
C01.01.02,0,,,,,,,,,,removal of beach materials
C01.02,0,,,,,,,,,,Loam and clay pits
C01.03,0,,,,,,,,,,Peat extraction
C01.03.01,0,,,,,,,,,,hand cutting of peat
C01.03.02,0,,,,,,,,,,mechanical removal of peat
C01.04,0,,,,,,,,,,Mines
C01.04.01,0,,,,,,,,,,open cast mining
C01.04.02,0,,,,,,,,,,underground mining
C01.05,0,,,,,,,,,,Salt works
C01.05.01,0,,,,,,,,,,abandonment of saltpans (salinas)
C01.05.02,0,,,,,,,,,,conversion of saltpans
C01.06,0,,,,,,,,,,Geotechnical survey
C01.07,0,,,,,,,,,,Mining and extraction activities not referred to above
C02,0,,,,,,,,,,Exploration and extraction of oil or gas
C02.01,0,,,,,,,,,,exploration drilling
C02.02,0,,,,,,,,,,production drilling
C02.03,0,,,,,,,,,,jack-up drilling rig
C02.04,0,,,,,,,,,,semi-submersible rig
C02.05,0,,,,,,,,,,drill ship
C03,0,,,,,,,,,,Renewable abiotic energy use
C03.01,0,,,,,,,,,,geothermal power production
C03.02,0,,,,,,,,,,solar energy production
